Genus(zh),Genus(la),Family,Feeding,CP,Genus.Average.Mass,Family.Average.Mass
,Capitomermis,Mermithidae,Animal parasites,,,
,Caranginema,Philometridae,Animal parasites,,,
,Cardiofilaria,Oswaldofilariidae,Animal parasites,,,
,Carlosia,Hystrignathidae,Animal parasites,,,
,Carnoya,Carnoyidae,Animal parasites,,,
,Carolinensis,Heligmonellidae,Animal parasites,,,
,Carostrongylus,Molineidae,Animal parasites,,,
,Cassunema,Chabertiidae,Animal parasites,,,
,Castorstrongylus,Chabertiidae,Animal parasites,,,
,Cattiena,Carnoyidae,Animal parasites,,,
,Cephalobellus,Thelastomatidae,Animal parasites,,296.496,235.402
,Ceratospira,Thelaziidae,Animal parasites,,,
,Cercogylus,Angiostrongylidae,Animal parasites,,,
,Cercopithifilaria,Onchocercidae,Animal parasites,,,
,Cervonemella,Chabertiidae,Animal parasites,,,
,Chabaudechina,Seuratidae,Animal parasites,,,
,Chabaudgolvania,Quimperiidae,Animal parasites,,,
,Chabaudistrongylus,Angiostrongylidae,Animal parasites,,,
,Chabaudstrongylus,Cooperiidae,Animal parasites,,,
,Chabaudus,Quimperiidae,Animal parasites,,,
,Chabertia,Chabertiidae,Animal parasites,,2890.625,3726.289
,Chabertiella,Chabertiidae,Animal parasites,,,
,Chapiniella,Strongylidae,Animal parasites,,,
,Cheilospirura,Spiruridae,Animal parasites,,,
,Cheiropteronema,Molineidae,Animal parasites,,,
,Chenospiruria,Habronematidae,Animal parasites,,,
,Chitwoodchabaudia,Chitwoodchabaudiidae,Animal parasites,,,
,Chitwoodiella,Travassosinematidae,Animal parasites,,,
,Chokwenema,Hystrignathidae,Animal parasites,,53.775,67.62
,Choniangimum,Strongylidae,Animal parasites,,,
,Christiella,Hystrignathidae,Animal parasites,,,
,Cissophyllus,Kathlaniidae,Animal parasites,,,
,Citellinema,Heligmosomidae,Animal parasites,,,
,Citellinoides,Heligmosomidae,Animal parasites,,,
,Clavinema,Philometridae,Animal parasites,,53826.25,91031.098
,Clementeia,Carnoyidae,Animal parasites,,,
,Cloacina,Chabertiidae,Animal parasites,,1637.623,3726.289
